Sample,Z
0,0.914
1,0.898
2,0.879
3,0.891
4,0.910
5,0.926
6,0.934
7,0.945
8,0.965
9,0.973
10,0.977
11,0.961
12,0.953
13,0.938
14,0.906
15,0.891
16,0.875
17,0.875
18,0.887
19,0.883
20,0.891
21,0.902
22,0.922
23,0.941
24,0.953
25,0.957
26,0.961
27,0.957
28,0.949
29,0.957
30,0.965
31,0.957
32,0.934
33,0.922
34,0.906
35,0.914
36,0.926
37,0.930
38,0.934
39,0.941
40,0.984
41,0.977
42,0.992
43,0.988
44,0.992
45,0.980
46,0.965
47,0.953
48,0.934
49,0.922
50,0.930
51,0.938
52,0.945
53,0.941
54,0.941
55,0.934
56,0.930
57,0.930
58,0.922
59,0.902
60,0.906
61,0.891
62,0.902
63,0.906
64,0.918
65,0.918
66,0.938
67,0.934
68,0.938
69,0.934
70,0.930
71,0.914
72,0.922
73,0.910
74,0.906
75,0.922
76,0.926
77,0.926
78,0.934
79,0.949
80,0.961
81,0.969
82,0.949
83,0.953
84,0.961
85,0.957
86,0.941
87,0.945
88,0.941
89,0.926
90,0.934
91,0.934
92,0.938
93,0.922
94,0.938
95,0.938
96,0.938
97,0.949
98,0.945
99,0.957
100,0.945
101,0.973
102,0.957
103,0.957
104,0.941
105,0.949
106,0.930
107,0.922
108,0.910
109,0.910
110,0.918
111,0.926
112,0.934
113,0.934
114,0.934
115,0.922
116,0.926
117,0.926
118,0.922
119,0.922
120,0.910
121,0.902
122,0.914
123,0.941
124,0.945
125,0.949
126,0.949
127,0.941
128,0.949
129,0.941
130,0.934
131,0.922
132,0.938
133,0.938
134,0.953
135,0.953
136,0.957
137,0.949
138,0.949
139,0.930
140,0.934
141,0.930
142,0.926
143,0.922
144,0.918
145,0.926
146,0.938
147,0.922
148,0.938
149,0.922
150,0.930
151,0.926
152,0.926
153,0.926
154,0.945
155,0.934
156,0.945
157,0.949
158,0.938
159,0.941
160,0.914
161,0.930
162,0.914
163,0.922
164,0.922
165,0.926
166,0.934
167,0.938
168,0.949
169,0.949
170,0.945
171,0.949
172,0.953
173,0.945
174,0.949
175,0.945
176,0.941
177,0.941
178,0.949
179,0.934
180,0.941
181,0.922
182,0.934
183,0.934
184,0.945
185,0.934
186,0.938
187,0.930
188,0.934
189,0.938
190,0.938
191,0.941
192,0.945
193,0.945
194,0.934
195,0.938
196,0.930
197,0.930
198,0.934
199,0.930
200,0.930
201,0.926
202,0.918
203,0.914
204,0.922
205,0.922
206,0.914
207,0.922
208,0.922
209,0.922
210,0.922
211,0.930
212,0.934
213,0.934
214,0.945
215,0.949
216,0.945
217,0.949
218,0.934
219,0.941
220,0.953
221,0.938
222,0.941
223,0.953
224,0.949
225,0.957
226,0.949
227,0.953
228,0.949
