Sample,X
0,0.035
1,0.020
2,-0.016
3,-0.039
4,0.004
5,0.059
6,0.094
7,0.074
8,0.059
9,0.043
10,0.066
11,0.094
12,0.094
13,0.078
14,0.062
15,0.047
16,0.055
17,0.047
18,0.031
19,0.016
20,0.023
21,-0.047
22,-0.012
23,-0.020
24,-0.031
25,-0.020
26,-0.008
27,0.023
28,0.039
29,0.051
30,0.047
31,0.047
32,0.047
33,0.066
34,0.059
35,0.066
36,0.039
37,0.039
38,0.047
39,0.027
40,0.031
41,0.016
42,0.027
43,0.016
44,0.020
45,0.000
46,-0.020
47,-0.023
48,-0.035
49,-0.016
50,-0.008
51,-0.004
52,-0.031
53,-0.031
54,-0.016
55,0.008
56,0.031
57,0.039
58,0.035
59,0.039
60,0.012
61,0.062
62,0.047
63,0.023
64,0.039
65,0.023
66,0.023
67,0.016
68,0.000
69,-0.008
70,0.004
71,0.023
72,0.031
73,0.027
74,0.016
75,0.004
76,0.020
77,0.020
78,0.031
79,0.043
80,0.031
81,0.090
82,0.035
83,0.039
84,0.062
85,0.066
86,0.051
87,0.062
88,0.047
89,0.043
90,0.047
91,0.031
92,0.027
93,0.016
94,0.004
95,0.008
96,-0.004
97,0.008
98,0.012
99,0.016
100,0.008
101,0.027
102,0.020
103,0.012
104,0.012
105,0.020
106,0.027
107,0.016
108,0.035
109,0.027
110,0.027
111,0.027
112,0.039
113,0.023
114,0.012
115,0.016
116,-0.004
117,-0.004
118,0.008
119,0.012
120,0.000
121,0.004
122,0.008
123,0.016
124,0.004
125,0.023
126,0.008
127,0.008
128,0.020
129,0.020
130,0.023
131,0.023
132,0.031
133,0.027
134,0.039
135,0.035
136,0.039
137,0.039
138,0.043
139,0.031
140,-0.020
141,0.031
142,0.027
143,0.035
144,0.027
145,0.027
146,0.031
147,0.031
148,0.027
149,0.035
150,0.035
151,0.039
152,0.035
153,0.043
154,0.031
155,0.051
156,0.031
157,0.031
158,0.039
159,0.039
160,0.035
161,0.023
162,0.035
163,0.027
164,0.023
165,0.020
166,0.039
167,0.020
168,0.012
169,0.020
170,0.012
171,0.008
172,0.020
173,0.008
174,0.012
175,0.012
176,0.016
177,0.012
178,0.023
179,0.008
180,-0.035
181,0.020
182,0.023
183,0.016
184,0.020
185,0.012
186,0.020
187,0.023
188,0.020
189,0.023
190,0.012
191,0.020
192,0.016
193,0.020
194,0.012
195,0.027
196,0.023
197,0.023
198,0.031
199,0.020
200,0.027
201,0.078
202,0.035
203,0.047
204,0.039
205,0.035
206,0.035
207,0.035
208,0.047
209,0.043
210,0.043
211,0.031
212,0.035
213,0.039
214,0.035
215,0.047
216,0.020
217,0.035
218,0.016
219,0.031
220,0.020
221,0.027
222,0.031
223,0.035
224,0.035
225,0.035
226,0.031
227,0.020
228,0.016
229,0.020
230,0.012
231,0.020
232,0.012
233,0.020
234,0.023
235,0.023
236,0.020
237,0.016
238,0.016
239,0.016
240,0.027
241,0.012
242,0.016
243,0.016
244,0.008
245,0.016
246,0.008
247,0.016
248,0.023
249,0.020
250,0.016
251,0.016
252,0.020
253,0.016
254,0.023
255,0.016
256,0.023
257,0.023
258,0.023
259,0.020
260,0.027
261,0.000
262,0.023
263,0.016
264,0.031
265,0.027
266,0.023
267,0.031
268,0.031
269,0.023
270,0.031
271,0.023
272,0.027
273,0.031
274,0.027
275,0.035
276,0.039
277,0.031
278,0.027
279,0.027
280,0.047
281,0.055
282,0.035
283,0.027
284,0.027
285,0.023
286,0.023
287,0.027
288,0.016
289,0.016
290,0.023
291,0.023
292,0.027
293,0.020
294,0.004
295,0.023
296,0.016
297,0.004
298,0.012
299,0.012
300,0.008
301,0.016
302,0.020
303,0.004
304,0.008
305,0.016
306,0.016
307,0.012
308,0.012
309,0.008
310,0.020
311,0.008
312,0.016
313,0.012
314,0.012
315,0.012
316,0.031
317,0.004
318,0.016
319,0.016
320,-0.020
321,0.027
322,0.031
323,0.023
324,0.023
325,0.039
326,0.027
327,0.035
328,0.031
329,0.027
330,0.020
331,0.039
332,0.035
333,0.031
334,0.027
335,0.027
336,0.020
337,0.043
338,0.027
339,0.031
340,-0.012
341,0.027
342,0.031
343,0.035
344,0.023
345,0.023
346,0.023
347,0.027
348,0.027
349,0.020
350,0.023
351,0.023
352,0.012
353,0.027
354,0.016
355,0.012
356,0.020
357,0.020
358,0.020
359,0.020
360,0.020
361,0.066
362,0.020
363,0.020
364,0.008
365,0.020
366,0.016
367,0.008
368,0.023
369,0.016
370,0.008
371,0.012
372,0.012
373,0.004
374,0.031
375,0.012
376,0.016
377,0.020
378,0.027
379,0.020
380,0.055
381,0.020
382,0.016
383,0.020
384,0.023
385,0.023
386,0.023
387,0.023
388,0.023
389,0.023
390,0.027
391,0.031
392,0.016
393,0.031
394,0.035
395,0.027
396,0.047
397,0.031
398,0.023
399,0.039
400,0.066
401,0.035
402,0.039
403,0.020
404,0.035
405,0.039
406,0.020
407,0.035
408,0.031
409,0.023
410,0.027
411,0.027
412,0.016
413,0.035
414,0.016
415,0.023
416,0.023
417,0.035
418,0.008
419,0.027
420,0.000
421,0.016
422,0.012
423,0.027
424,0.004
425,0.027
426,0.020
427,0.012
428,0.020
429,0.012
430,0.008
431,0.023
432,0.023
433,0.012
434,0.016
435,0.004
436,0.008
437,0.020
438,0.027
439,0.016
440,0.039
441,0.020
442,0.020
443,0.035
444,0.027
445,0.023
446,0.031
447,0.020
448,0.027
449,0.039
450,0.027
451,0.023
452,0.031
453,0.023
454,0.031
455,0.043
456,0.027
457,0.035
458,0.035
459,0.039
460,0.023
461,0.043
462,0.035
463,0.035
464,0.035
465,0.027
466,0.031
467,0.027
468,0.043
469,0.031
470,0.027
471,0.020
472,0.027
473,0.027
474,0.035
475,0.023
476,0.027
477,0.027
478,0.020
479,0.023
480,0.031
481,0.020
482,0.012
483,0.016
484,0.020
485,0.012
486,0.031
487,0.008
488,0.016
489,0.023
490,0.020
491,0.008
492,0.023
493,0.016
494,0.008
495,0.016
496,0.012
497,0.016
498,0.031
499,0.016
Rate 1408, overflows 0
