Sample,Y
0,0.199
1,-0.090
2,-0.047
3,-0.043
4,-0.039
5,-0.055
6,-0.074
7,-0.082
8,-0.074
9,-0.039
10,-0.062
11,-0.059
12,-0.090
13,-0.066
14,-0.078
15,-0.062
16,-0.074
17,-0.125
18,-0.164
19,-0.137
20,-0.062
21,-0.055
22,-0.008
23,0.016
24,0.062
25,0.031
26,-0.016
27,-0.102
28,-0.172
29,-0.195
30,-0.172
31,-0.109
32,-0.082
33,-0.078
34,-0.078
35,-0.059
36,-0.059
37,-0.055
38,-0.047
39,-0.023
40,-0.059
41,-0.059
42,-0.020
43,-0.012
44,-0.016
45,-0.031
46,-0.047
47,-0.090
48,-0.098
49,-0.098
50,-0.094
51,-0.070
52,-0.078
53,-0.070
54,-0.066
55,-0.035
56,-0.008
57,0.016
58,0.016
59,0.012
60,0.012
61,-0.062
62,-0.102
63,-0.117
64,-0.074
65,-0.070
66,-0.051
67,-0.062
68,-0.059
69,-0.070
70,-0.078
71,-0.074
72,-0.078
73,-0.055
74,-0.062
75,-0.055
76,-0.066
77,-0.086
78,-0.086
79,-0.105
80,-0.117
81,-0.098
82,-0.055
83,-0.109
84,-0.145
85,-0.145
86,-0.078
87,-0.055
88,-0.012
89,0.035
90,0.090
91,0.059
92,-0.008
93,-0.039
94,-0.109
95,-0.148
96,-0.164
97,-0.109
98,-0.082
99,-0.102
100,-0.113
101,-0.082
102,-0.078
103,-0.074
104,-0.039
105,-0.027
106,-0.039
107,-0.047
108,-0.020
109,-0.004
110,-0.023
111,-0.035
112,-0.047
113,-0.062
114,-0.102
115,-0.082
116,-0.066
117,-0.051
118,-0.078
119,-0.074
120,-0.094
121,-0.086
122,-0.043
123,-0.023
124,-0.012
125,-0.004
126,-0.008
127,-0.051
128,-0.109
129,-0.121
130,-0.121
131,-0.066
132,-0.039
133,-0.039
134,-0.059
135,-0.062
136,-0.094
137,-0.074
138,-0.062
139,-0.059
140,-0.059
141,-0.051
142,-0.051
143,-0.082
144,-0.070
145,-0.098
146,-0.094
147,-0.078
148,-0.070
149,-0.078
150,-0.098
151,-0.137
152,-0.145
153,-0.070
154,-0.059
155,-0.008
156,0.023
157,0.078
158,0.051
159,0.016
160,-0.016
