Sample,X,Y,Z
0,0.023,0.020,0.785
1,0.039,-0.281,0.891
2,0.020,-0.297,0.883
3,0.027,-0.277,0.875
4,0.020,-0.281,0.863
5,0.023,-0.273,0.863
6,-0.016,-0.277,0.891
7,0.004,-0.281,0.902
8,-0.008,-0.293,0.902
9,-0.039,-0.270,0.902
10,-0.074,-0.293,0.910
11,-0.059,-0.301,0.910
12,-0.055,-0.289,0.914
13,-0.020,-0.270,0.918
14,-0.023,-0.273,0.906
15,-0.051,-0.281,0.895
16,-0.023,-0.289,0.879
17,-0.016,-0.305,0.883
18,0.012,-0.273,0.910
19,0.000,-0.254,0.930
20,-0.023,-0.273,0.941
21,0.020,-0.285,0.910
22,-0.020,-0.297,0.902
23,-0.004,-0.301,0.918
24,0.000,-0.285,0.926
25,-0.008,-0.270,0.918
26,-0.004,-0.273,0.902
27,-0.016,-0.293,0.887
28,-0.004,-0.305,0.871
29,0.004,-0.297,0.875
30,0.000,-0.293,0.887
31,0.008,-0.281,0.875
32,-0.031,-0.289,0.895
33,-0.027,-0.281,0.891
34,-0.035,-0.293,0.895
35,-0.020,-0.293,0.895
36,-0.027,-0.273,0.914
37,-0.027,-0.273,0.914
38,-0.035,-0.273,0.914
39,-0.039,-0.281,0.910
40,-0.047,-0.297,0.895
41,0.008,-0.281,0.918
42,-0.031,-0.281,0.910
43,-0.012,-0.277,0.926
44,0.004,-0.262,0.930
45,0.012,-0.270,0.914
46,-0.004,-0.285,0.898
47,-0.008,-0.309,0.887
48,0.004,-0.293,0.898
49,0.023,-0.262,0.910
50,0.031,-0.254,0.906
51,-0.027,-0.270,0.891
52,-0.062,-0.316,0.871
53,-0.055,-0.312,0.875
54,-0.016,-0.281,0.902
55,-0.004,-0.266,0.930
56,-0.031,-0.273,0.918
57,-0.070,-0.293,0.895
58,-0.035,-0.312,0.867
59,-0.027,-0.285,0.875
60,0.023,-0.273,0.879
61,-0.008,-0.266,0.910
62,-0.039,-0.289,0.879
63,-0.027,-0.316,0.867
64,0.000,-0.281,0.895
65,0.012,-0.270,0.910
66,-0.023,-0.258,0.934
67,-0.051,-0.289,0.922
68,-0.012,-0.297,0.898
69,0.008,-0.270,0.902
70,-0.004,-0.266,0.914
71,-0.004,-0.270,0.914
72,-0.023,-0.285,0.898
73,0.020,-0.289,0.887
74,0.004,-0.281,0.879
75,-0.008,-0.293,0.879
76,-0.023,-0.297,0.895
77,-0.031,-0.293,0.910
78,-0.016,-0.293,0.902
79,-0.035,-0.273,0.906
80,-0.027,-0.258,0.906
81,-0.066,-0.289,0.926
82,-0.043,-0.281,0.898
83,-0.027,-0.289,0.902
84,-0.016,-0.277,0.895
85,0.000,-0.273,0.898
86,0.008,-0.293,0.895
87,-0.012,-0.309,0.891
88,0.004,-0.301,0.891
89,-0.012,-0.277,0.895
90,0.000,-0.281,0.895
91,0.004,-0.270,0.906
92,-0.012,-0.277,0.906
93,-0.016,-0.281,0.898
94,-0.020,-0.289,0.891
95,-0.012,-0.273,0.895
96,0.008,-0.285,0.902
97,-0.008,-0.293,0.906
98,-0.039,-0.285,0.906
99,-0.039,-0.301,0.891
100,0.004,-0.281,0.875
101,0.031,-0.285,0.906
102,-0.020,-0.273,0.926
103,-0.016,-0.277,0.910
104,-0.027,-0.285,0.891
105,-0.020,-0.293,0.898
106,-0.004,-0.277,0.895
107,-0.027,-0.289,0.906
108,-0.027,-0.289,0.898
109,-0.023,-0.289,0.895
110,0.004,-0.281,0.902
111,0.000,-0.285,0.895
112,-0.016,-0.289,0.914
113,0.008,-0.266,0.918
114,-0.023,-0.273,0.910
115,0.004,-0.293,0.887
116,0.016,-0.270,0.895
117,0.016,-0.270,0.895
118,0.012,-0.266,0.910
119,0.000,-0.277,0.895
120,-0.039,-0.293,0.895
121,-0.043,-0.305,0.887
122,-0.016,-0.289,0.902
123,-0.004,-0.262,0.914
124,-0.035,-0.281,0.926
125,-0.031,-0.301,0.902
126,-0.016,-0.289,0.891
127,-0.031,-0.285,0.895
128,-0.012,-0.273,0.887
129,-0.043,-0.281,0.898
130,-0.043,-0.305,0.895
131,0.008,-0.293,0.875
132,-0.020,-0.273,0.895
133,-0.016,-0.289,0.898
134,-0.012,-0.281,0.906
135,-0.020,-0.273,0.918
136,-0.008,-0.289,0.898
137,0.000,-0.289,0.883
138,-0.023,-0.273,0.922
139,-0.020,-0.273,0.918
140,-0.027,-0.273,0.918
141,-0.023,-0.289,0.898
142,-0.027,-0.297,0.895
143,-0.023,-0.285,0.898
144,-0.047,-0.289,0.910
145,-0.012,-0.277,0.898
146,-0.023,-0.289,0.910
147,-0.023,-0.277,0.906
148,-0.031,-0.285,0.887
149,-0.023,-0.297,0.898
150,-0.008,-0.281,0.898
151,-0.027,-0.281,0.895
152,-0.016,-0.285,0.883
153,-0.031,-0.293,0.895
154,-0.008,-0.289,0.891
155,-0.012,-0.289,0.895
156,0.000,-0.285,0.898
157,-0.016,-0.285,0.898
158,-0.004,-0.281,0.906
159,-0.004,-0.273,0.895
160,0.004,-0.281,0.895
161,0.004,-0.281,0.895
162,0.008,-0.293,0.902
163,-0.008,-0.285,0.891
164,-0.020,-0.285,0.898
165,-0.012,-0.281,0.895
166,-0.023,-0.277,0.918
167,-0.016,-0.281,0.902
168,-0.016,-0.285,0.898
169,-0.016,-0.281,0.910
170,0.004,-0.273,0.906
171,-0.008,-0.281,0.906
172,-0.020,-0.277,0.906
173,-0.008,-0.285,0.887
174,-0.031,-0.305,0.887
175,-0.016,-0.281,0.902
176,0.023,-0.273,0.898
177,-0.008,-0.270,0.902
178,-0.012,-0.293,0.895
179,-0.031,-0.301,0.883
180,-0.098,-0.316,0.906
181,0.016,-0.273,0.887
182,0.035,-0.262,0.910
183,-0.012,-0.273,0.906
184,-0.047,-0.293,0.883
185,-0.039,-0.312,0.863
186,-0.027,-0.281,0.895
187,0.008,-0.273,0.906
188,-0.020,-0.277,0.926
189,-0.012,-0.285,0.902
190,-0.016,-0.289,0.906
191,-0.008,-0.293,0.887
192,-0.023,-0.273,0.902
193,-0.035,-0.281,0.914
194,-0.020,-0.289,0.906
195,-0.016,-0.285,0.902
196,0.004,-0.270,0.891
197,-0.035,-0.285,0.902
198,-0.023,-0.293,0.898
199,-0.016,-0.289,0.895
200,0.004,-0.297,0.902
201,-0.004,-0.270,0.902
202,-0.035,-0.270,0.906
203,-0.020,-0.285,0.902
204,-0.027,-0.297,0.887
205,-0.020,-0.285,0.887
206,-0.016,-0.281,0.895
207,-0.016,-0.285,0.891
208,-0.008,-0.285,0.895
209,-0.043,-0.281,0.902
210,-0.020,-0.297,0.887
211,-0.023,-0.289,0.898
212,-0.012,-0.270,0.902
213,0.000,-0.266,0.906
214,-0.027,-0.289,0.902
215,-0.039,-0.305,0.891
216,-0.012,-0.289,0.887
217,-0.012,-0.289,0.887
218,-0.012,-0.258,0.910
219,-0.004,-0.277,0.918
220,-0.016,-0.281,0.898
221,-0.020,-0.285,0.891
222,-0.047,-0.285,0.898
223,-0.016,-0.289,0.895
224,0.000,-0.277,0.906
225,-0.012,-0.270,0.910
226,-0.016,-0.281,0.902
227,-0.016,-0.289,0.883
228,-0.035,-0.289,0.883
229,0.000,-0.297,0.895
230,-0.016,-0.273,0.914
231,-0.004,-0.273,0.910
232,-0.020,-0.285,0.898
233,-0.023,-0.285,0.902
234,-0.012,-0.273,0.902
235,-0.020,-0.281,0.910
236,-0.023,-0.281,0.906
237,-0.008,-0.285,0.898
238,-0.016,-0.281,0.895
239,0.008,-0.273,0.891
240,-0.008,-0.289,0.902
241,-0.023,-0.281,0.906
242,-0.016,-0.285,0.898
243,-0.012,-0.277,0.895
244,-0.004,-0.281,0.895
245,-0.023,-0.289,0.906
246,0.004,-0.289,0.910
247,-0.023,-0.285,0.906
248,0.004,-0.277,0.895
249,-0.004,-0.281,0.891
250,-0.027,-0.289,0.898
251,-0.012,-0.289,0.898
252,-0.023,-0.289,0.898
253,-0.008,-0.289,0.895
254,-0.004,-0.281,0.895
255,-0.012,-0.270,0.906
256,-0.027,-0.289,0.910
257,-0.004,-0.281,0.895
258,-0.031,-0.281,0.906
259,0.004,-0.285,0.898
260,0.027,-0.289,0.926
261,0.004,-0.273,0.914
262,-0.039,-0.293,0.906
263,-0.008,-0.281,0.891
264,-0.027,-0.289,0.898
265,-0.012,-0.277,0.895
266,-0.004,-0.285,0.902
267,-0.035,-0.273,0.906
268,-0.008,-0.281,0.895
269,-0.016,-0.289,0.906
270,-0.012,-0.281,0.895
271,-0.027,-0.273,0.902
272,-0.027,-0.285,0.910
273,-0.020,-0.293,0.891
274,-0.020,-0.277,0.883
275,-0.023,-0.281,0.902
276,-0.027,-0.293,0.895
277,-0.020,-0.285,0.895
278,-0.031,-0.281,0.898
279,-0.008,-0.285,0.895
280,0.012,-0.285,0.918
281,-0.020,-0.277,0.895
282,-0.027,-0.293,0.902
283,-0.008,-0.277,0.902
284,-0.012,-0.281,0.902
285,-0.023,-0.285,0.898
286,-0.016,-0.285,0.902
287,-0.027,-0.285,0.906
288,-0.016,-0.270,0.898
289,-0.008,-0.285,0.898
290,-0.023,-0.270,0.906
291,-0.027,-0.297,0.898
292,-0.020,-0.277,0.898
293,-0.012,-0.273,0.914
294,-0.016,-0.273,0.895
295,-0.012,-0.297,0.887
296,-0.023,-0.293,0.895
297,-0.020,-0.270,0.902
298,-0.008,-0.293,0.883
299,-0.027,-0.289,0.895
300,-0.031,-0.277,0.926
301,-0.023,-0.277,0.906
302,-0.004,-0.293,0.891
303,-0.023,-0.277,0.895
304,-0.027,-0.266,0.914
305,-0.004,-0.297,0.895
306,-0.012,-0.289,0.887
307,-0.027,-0.277,0.910
308,-0.016,-0.277,0.906
309,-0.008,-0.281,0.902
310,-0.027,-0.277,0.906
311,-0.004,-0.281,0.902
312,-0.035,-0.293,0.895
313,-0.027,-0.270,0.898
314,-0.008,-0.273,0.895
315,0.004,-0.273,0.910
316,-0.031,-0.293,0.902
317,-0.031,-0.297,0.887
318,-0.016,-0.289,0.895
319,-0.016,-0.273,0.898
320,0.008,-0.277,0.914
321,-0.023,-0.285,0.910
322,-0.027,-0.301,0.902
323,0.000,-0.289,0.887
324,0.000,-0.270,0.898
325,-0.020,-0.277,0.902
326,-0.043,-0.293,0.902
327,-0.023,-0.289,0.887
328,-0.008,-0.289,0.895
329,0.004,-0.273,0.902
330,0.004,-0.281,0.910
331,-0.031,-0.285,0.906
332,-0.016,-0.293,0.887
333,-0.031,-0.277,0.895
334,0.008,-0.285,0.891
335,-0.016,-0.273,0.910
336,-0.023,-0.285,0.914
337,-0.016,-0.297,0.891
338,-0.023,-0.293,0.895
339,-0.020,-0.277,0.898
340,-0.070,-0.281,0.895
341,-0.020,-0.285,0.906
342,-0.016,-0.281,0.898
343,-0.020,-0.289,0.906
344,-0.004,-0.281,0.887
345,-0.027,-0.281,0.906
346,-0.023,-0.285,0.906
347,-0.027,-0.301,0.895
348,-0.016,-0.281,0.898
349,0.004,-0.270,0.898
350,-0.035,-0.293,0.906
351,-0.008,-0.293,0.895
352,-0.039,-0.293,0.906
353,-0.008,-0.273,0.898
354,-0.012,-0.281,0.891
355,-0.012,-0.277,0.895
356,-0.031,-0.289,0.906
357,-0.012,-0.293,0.891
358,-0.008,-0.277,0.887
359,-0.016,-0.281,0.898
360,-0.016,-0.293,0.898
361,-0.039,-0.285,0.887
362,-0.027,-0.297,0.887
363,-0.020,-0.285,0.895
364,0.000,-0.262,0.898
365,-0.020,-0.281,0.910
366,-0.008,-0.293,0.891
367,-0.020,-0.289,0.883
368,-0.023,-0.277,0.906
369,-0.004,-0.281,0.895
370,-0.016,-0.281,0.902
371,-0.031,-0.301,0.895
372,-0.012,-0.285,0.898
373,-0.035,-0.281,0.906
374,-0.012,-0.289,0.898
375,-0.016,-0.289,0.895
376,-0.008,-0.281,0.914
377,-0.008,-0.281,0.914
378,-0.012,-0.281,0.910
379,-0.016,-0.285,0.898
380,-0.023,-0.281,0.891
381,-0.023,-0.293,0.902
382,0.000,-0.281,0.898
383,-0.027,-0.281,0.902
384,-0.016,-0.281,0.898
385,-0.020,-0.285,0.895
386,-0.020,-0.285,0.902
