Sample,X,Y,Z
0,-0.023,-0.305,0.867
1,-0.035,-0.312,0.887
2,-0.020,-0.324,0.871
3,-0.012,-0.309,0.875
4,-0.039,-0.305,0.887
5,-0.012,-0.293,0.891
6,-0.031,-0.309,0.898
7,-0.012,-0.320,0.891
8,0.004,-0.320,0.871
9,0.000,-0.312,0.875
10,-0.027,-0.293,0.875
11,-0.035,-0.281,0.887
12,-0.043,-0.316,0.887
13,-0.008,-0.324,0.883
14,0.004,-0.320,0.875
15,-0.027,-0.316,0.871
16,-0.039,-0.281,0.895
17,-0.023,-0.312,0.898
18,-0.012,-0.316,0.898
19,-0.004,-0.320,0.875
20,0.051,-0.309,0.867
21,-0.047,-0.301,0.879
22,-0.043,-0.297,0.895
23,-0.035,-0.320,0.887
24,0.000,-0.324,0.863
25,0.023,-0.301,0.859
26,-0.043,-0.309,0.887
27,-0.027,-0.301,0.891
28,-0.055,-0.324,0.895
29,-0.012,-0.320,0.871
30,0.027,-0.301,0.863
31,-0.047,-0.320,0.883
32,-0.027,-0.301,0.887
33,-0.039,-0.305,0.898
34,0.000,-0.293,0.875
35,-0.020,-0.312,0.871
36,-0.027,-0.309,0.879
37,-0.020,-0.297,0.883
38,-0.051,-0.320,0.895
39,0.012,-0.309,0.875
40,-0.078,-0.309,0.863
41,-0.027,-0.312,0.871
42,-0.031,-0.297,0.887
43,-0.043,-0.301,0.906
44,-0.023,-0.340,0.875
45,-0.004,-0.324,0.871
46,0.008,-0.305,0.871
47,0.000,-0.293,0.883
48,-0.062,-0.297,0.898
49,-0.027,-0.312,0.875
50,-0.020,-0.320,0.867
51,0.004,-0.316,0.863
52,0.008,-0.289,0.875
53,-0.023,-0.297,0.891
54,-0.031,-0.309,0.879
55,-0.035,-0.316,0.887
56,-0.016,-0.312,0.875
57,-0.023,-0.316,0.875
58,-0.012,-0.293,0.891
59,-0.035,-0.309,0.895
60,-0.031,-0.316,0.883
61,-0.016,-0.305,0.875
62,0.008,-0.301,0.879
63,-0.035,-0.293,0.875
64,-0.031,-0.316,0.883
65,-0.020,-0.301,0.891
66,-0.020,-0.324,0.875
67,0.016,-0.305,0.863
68,-0.031,-0.309,0.875
69,-0.031,-0.305,0.883
70,-0.047,-0.293,0.902
71,-0.035,-0.320,0.887
72,0.012,-0.309,0.867
73,-0.012,-0.324,0.879
74,-0.020,-0.309,0.879
75,-0.043,-0.305,0.898
76,-0.035,-0.301,0.883
77,-0.004,-0.309,0.867
78,-0.008,-0.301,0.883
