Sample,X,Y,Z
0,0.016,-0.094,0.988
1,0.035,-0.109,0.988
2,0.055,-0.137,0.945
3,0.035,-0.129,0.906
4,0.012,-0.129,0.914
5,-0.004,-0.102,0.934
6,0.004,-0.109,0.941
7,0.008,-0.141,0.953
8,0.012,-0.156,0.926
9,0.023,-0.184,0.906
10,0.027,-0.188,0.902
11,0.043,-0.152,0.918
12,0.031,-0.125,0.930
13,0.027,-0.113,0.938
14,0.020,-0.109,0.918
15,0.016,-0.133,0.895
16,0.020,-0.145,0.895
17,0.016,-0.160,0.895
18,0.008,-0.129,0.926
19,0.023,-0.121,0.934
20,0.027,-0.105,0.934
21,0.039,-0.129,0.906
22,0.012,-0.145,0.910
23,0.016,-0.152,0.895
24,0.012,-0.160,0.891
25,0.020,-0.145,0.895
26,0.016,-0.117,0.922
27,0.023,-0.082,0.941
28,0.000,-0.113,0.934
29,0.012,-0.145,0.914
30,0.027,-0.168,0.902
31,0.020,-0.152,0.918
32,0.016,-0.129,0.941
33,0.023,-0.113,0.949
34,0.016,-0.121,0.934
35,0.023,-0.133,0.918
36,0.008,-0.129,0.910
37,0.016,-0.152,0.902
38,0.020,-0.137,0.934
39,0.023,-0.141,0.965
40,0.059,-0.109,0.969
41,0.004,-0.113,0.977
42,0.004,-0.117,0.945
43,0.023,-0.145,0.914
44,0.039,-0.152,0.922
45,0.043,-0.133,0.926
46,0.047,-0.129,0.957
47,0.031,-0.125,0.941
48,0.023,-0.137,0.926
49,0.027,-0.113,0.902
50,0.023,-0.156,0.883
51,0.012,-0.148,0.902
52,0.004,-0.133,0.918
53,0.008,-0.113,0.941
54,0.027,-0.109,0.941
55,0.035,-0.121,0.938
56,0.035,-0.129,0.910
57,0.000,-0.137,0.918
58,0.000,-0.145,0.910
59,0.000,-0.129,0.906
60,0.020,-0.137,0.934
61,0.008,-0.113,0.906
62,0.023,-0.141,0.906
63,-0.016,-0.133,0.914
64,0.004,-0.137,0.898
65,0.004,-0.148,0.906
66,0.020,-0.152,0.930
67,0.031,-0.133,0.941
68,0.039,-0.121,0.953
69,0.008,-0.125,0.953
70,-0.004,-0.141,0.934
71,0.020,-0.109,0.930
72,0.031,-0.121,0.934
73,0.035,-0.129,0.938
74,0.059,-0.141,0.926
75,0.039,-0.145,0.949
76,0.043,-0.145,0.941
77,0.020,-0.129,0.949
78,0.031,-0.141,0.945
79,0.039,-0.109,0.945
80,0.062,-0.113,0.930
81,0.023,-0.152,0.906
82,0.020,-0.129,0.898
83,-0.004,-0.137,0.926
84,0.012,-0.141,0.922
85,0.039,-0.109,0.914
86,0.035,-0.137,0.918
87,0.027,-0.141,0.914
88,0.035,-0.129,0.910
89,0.031,-0.145,0.902
90,0.020,-0.129,0.906
91,0.020,-0.137,0.906
92,0.008,-0.133,0.902
93,0.000,-0.137,0.918
94,0.027,-0.125,0.898
95,0.016,-0.125,0.914
96,0.020,-0.148,0.918
97,0.023,-0.133,0.914
98,0.023,-0.141,0.918
99,0.008,-0.148,0.922
100,0.043,-0.129,0.883
101,0.016,-0.133,0.938
102,0.023,-0.129,0.930
103,0.020,-0.125,0.926
104,0.020,-0.145,0.922
105,0.031,-0.121,0.934
106,0.047,-0.117,0.926
107,0.031,-0.148,0.945
108,0.035,-0.137,0.941
109,0.027,-0.121,0.938
110,0.020,-0.133,0.941
111,0.023,-0.141,0.934
112,0.039,-0.129,0.938
113,0.020,-0.133,0.945
114,0.016,-0.137,0.941
115,0.035,-0.098,0.945
116,0.027,-0.129,0.938
117,0.023,-0.148,0.926
118,0.039,-0.148,0.910
119,0.016,-0.152,0.938
120,0.035,-0.133,0.938
121,0.023,-0.105,0.918
122,0.023,-0.137,0.906
123,0.004,-0.160,0.914
124,0.008,-0.121,0.914
125,0.000,-0.133,0.930
126,0.031,-0.141,0.922
127,0.027,-0.152,0.914
128,0.023,-0.129,0.926
129,0.016,-0.113,0.930
130,0.012,-0.109,0.922
131,0.020,-0.145,0.902
132,0.016,-0.152,0.910
133,0.035,-0.133,0.910
134,0.023,-0.117,0.934
135,0.000,-0.129,0.934
136,0.020,-0.137,0.922
137,0.016,-0.141,0.918
138,0.023,-0.133,0.914
139,0.031,-0.133,0.926
140,-0.008,-0.141,0.922
141,0.031,-0.125,0.926
142,0.023,-0.129,0.926
143,0.023,-0.129,0.922
144,0.027,-0.137,0.926
145,0.020,-0.133,0.914
146,0.020,-0.145,0.934
147,0.035,-0.125,0.941
148,0.027,-0.125,0.941
149,0.031,-0.133,0.941
150,0.016,-0.137,0.934
151,0.027,-0.133,0.934
152,0.020,-0.129,0.941
153,0.027,-0.145,0.934
154,0.035,-0.145,0.930
155,0.020,-0.129,0.938
156,0.031,-0.129,0.938
157,0.027,-0.117,0.926
158,0.027,-0.145,0.914
159,0.027,-0.152,0.918
160,0.059,-0.152,0.945
161,0.016,-0.117,0.930
162,0.035,-0.137,0.926
163,0.031,-0.137,0.914
164,0.016,-0.141,0.906
165,0.004,-0.141,0.914
166,0.016,-0.137,0.918
167,0.016,-0.121,0.910
168,0.027,-0.133,0.906
169,0.023,-0.137,0.910
170,0.023,-0.121,0.922
171,0.004,-0.137,0.918
172,0.016,-0.145,0.910
173,0.027,-0.141,0.902
174,0.027,-0.141,0.918
175,0.020,-0.129,0.930
176,0.016,-0.133,0.926
177,0.008,-0.148,0.922
178,0.016,-0.148,0.914
179,0.035,-0.121,0.934
180,0.020,-0.102,0.938
181,0.027,-0.113,0.945
182,0.020,-0.148,0.949
183,0.020,-0.141,0.945
184,0.031,-0.113,0.953
185,0.031,-0.141,0.945
186,0.035,-0.141,0.930
187,0.031,-0.133,0.922
188,0.012,-0.133,0.941
189,0.023,-0.113,0.934
190,0.027,-0.125,0.926
191,0.027,-0.148,0.918
192,0.035,-0.141,0.922
193,0.023,-0.141,0.918
194,0.020,-0.129,0.938
195,0.027,-0.117,0.930
196,0.023,-0.137,0.926
197,0.023,-0.141,0.914
198,0.012,-0.133,0.926
199,0.012,-0.133,0.918
200,0.047,-0.125,0.906
201,0.000,-0.129,0.914
202,0.023,-0.125,0.922
203,0.031,-0.129,0.922
204,0.004,-0.148,0.918
205,0.016,-0.137,0.918
206,0.020,-0.125,0.910
207,0.016,-0.152,0.910
208,0.023,-0.129,0.914
209,0.020,-0.121,0.918
210,0.016,-0.133,0.926
211,0.023,-0.125,0.926
212,0.035,-0.125,0.922
213,0.023,-0.145,0.926
214,0.027,-0.133,0.934
215,0.020,-0.117,0.934
216,0.012,-0.141,0.934
217,0.020,-0.129,0.934
218,0.031,-0.129,0.934
219,0.023,-0.129,0.926
220,0.062,-0.121,0.953
221,0.039,-0.133,0.926
222,0.016,-0.129,0.930
223,0.023,-0.125,0.934
224,0.020,-0.129,0.926
225,0.027,-0.145,0.926
226,0.012,-0.141,0.922
227,0.023,-0.121,0.938
228,0.020,-0.137,0.930
229,0.016,-0.141,0.930
230,0.027,-0.129,0.914
231,0.023,-0.137,0.922
232,0.012,-0.125,0.922
233,0.031,-0.133,0.930
234,0.023,-0.141,0.922
235,0.027,-0.152,0.930
236,0.031,-0.125,0.918
237,0.023,-0.141,0.926
238,0.016,-0.148,0.918
239,0.031,-0.121,0.914
240,0.000,-0.152,0.883
241,0.000,-0.133,0.918
242,0.023,-0.137,0.918
243,0.027,-0.121,0.914
244,0.020,-0.148,0.922
245,0.035,-0.133,0.914
246,0.031,-0.117,0.930
247,0.012,-0.141,0.926
248,0.020,-0.133,0.922
249,0.027,-0.117,0.922
250,0.027,-0.156,0.922
251,0.023,-0.141,0.922
252,0.020,-0.133,0.930
253,0.012,-0.137,0.930
254,0.027,-0.129,0.918
255,0.035,-0.129,0.918
256,0.012,-0.141,0.934
257,0.023,-0.133,0.934
258,0.023,-0.125,0.934
259,0.027,-0.133,0.930
260,0.016,-0.129,0.957
261,0.020,-0.129,0.922
262,0.031,-0.133,0.934
263,0.020,-0.133,0.934
264,0.027,-0.137,0.926
265,0.027,-0.133,0.926
266,0.031,-0.141,0.926
267,0.031,-0.141,0.926
268,0.020,-0.125,0.930
269,0.027,-0.129,0.914
270,0.016,-0.137,0.922
271,0.027,-0.141,0.910
272,0.020,-0.129,0.922
273,0.023,-0.125,0.922
274,0.008,-0.133,0.918
275,0.027,-0.133,0.918
276,0.023,-0.129,0.922
277,0.023,-0.137,0.922
278,0.012,-0.125,0.914
279,0.016,-0.137,0.922
280,0.047,-0.129,0.918
281,0.023,-0.125,0.898
282,0.031,-0.137,0.914
283,0.016,-0.133,0.926
284,0.020,-0.133,0.918
285,0.012,-0.137,0.926
286,0.023,-0.148,0.926
287,0.020,-0.117,0.926
288,0.012,-0.129,0.941
289,0.016,-0.133,0.926
290,0.023,-0.137,0.926
291,0.023,-0.145,0.926
292,0.035,-0.125,0.930
293,0.020,-0.121,0.938
294,0.031,-0.121,0.930
295,0.020,-0.145,0.934
296,0.023,-0.156,0.922
297,0.023,-0.117,0.941
298,0.027,-0.105,0.945
299,0.023,-0.129,0.930
300,-0.004,-0.172,0.926
301,0.016,-0.152,0.934
302,0.023,-0.113,0.934
303,0.023,-0.129,0.934
304,0.023,-0.141,0.930
305,0.031,-0.137,0.914
306,0.012,-0.145,0.930
307,0.012,-0.117,0.922
308,0.016,-0.113,0.918
309,0.023,-0.137,0.910
310,0.023,-0.152,0.918
311,0.031,-0.129,0.914
312,0.004,-0.129,0.922
313,0.008,-0.137,0.910
314,0.031,-0.121,0.914
315,0.035,-0.137,0.906
316,0.016,-0.160,0.910
317,0.008,-0.133,0.918
318,0.020,-0.109,0.926
319,0.020,-0.121,0.930
320,0.008,-0.148,0.910
321,0.023,-0.141,0.902
322,0.004,-0.145,0.930
323,0.012,-0.121,0.934
324,0.027,-0.113,0.930
325,0.027,-0.141,0.926
326,0.023,-0.141,0.926
