Sample,X,Y,Z
0,-0.047,-0.184,1.008
1,-0.043,0.082,1.016
2,-0.023,0.078,0.992
3,-0.020,0.074,1.000
4,-0.023,0.059,1.004
5,-0.043,0.059,1.000
6,-0.043,0.047,0.988
7,-0.035,0.051,1.012
8,-0.012,0.055,1.008
9,-0.004,0.059,1.023
10,-0.023,0.055,1.008
11,-0.027,0.055,1.004
12,-0.055,0.051,1.000
13,-0.055,0.051,1.004
14,-0.047,0.066,1.008
15,-0.027,0.055,1.031
16,-0.023,0.055,1.023
17,-0.035,0.055,1.004
18,-0.051,0.059,1.000
19,-0.051,0.051,0.984
20,-0.051,0.039,0.953
21,-0.016,0.059,1.020
22,-0.023,0.066,1.008
23,-0.031,0.066,1.008
24,-0.055,0.066,1.004
25,-0.051,0.070,0.980
26,-0.051,0.082,0.980
27,-0.027,0.070,1.008
28,-0.016,0.070,0.992
29,-0.027,0.066,1.027
30,-0.051,0.066,1.000
31,-0.039,0.055,0.984
32,-0.047,0.059,0.980
33,-0.035,0.051,0.988
34,-0.012,0.055,0.992
35,-0.012,0.062,1.027
36,-0.031,0.066,1.020
37,-0.031,0.070,1.016
38,-0.047,0.074,0.996
39,-0.039,0.066,0.980
40,-0.012,0.066,0.953
41,-0.031,0.066,1.008
42,-0.027,0.059,0.996
43,-0.027,0.051,0.988
44,-0.059,0.055,1.004
45,-0.047,0.059,0.996
46,-0.031,0.062,1.012
47,-0.031,0.062,1.004
48,-0.012,0.059,0.992
49,-0.016,0.047,1.016
50,-0.027,0.039,1.004
51,-0.035,0.051,1.004
52,-0.051,0.062,1.012
53,-0.039,0.070,1.020
54,-0.039,0.062,0.988
55,-0.043,0.059,0.996
56,-0.047,0.055,0.996
57,-0.051,0.055,0.996
58,-0.051,0.074,1.016
59,-0.035,0.066,0.992
60,-0.035,0.082,0.973
61,-0.020,0.055,0.992
62,-0.035,0.062,0.996
63,-0.027,0.051,0.992
64,-0.031,0.074,1.012
65,-0.012,0.062,1.012
66,-0.027,0.070,1.000
67,-0.035,0.066,1.008
68,-0.051,0.059,0.984
69,-0.031,0.062,0.996
70,-0.023,0.066,0.992
71,-0.023,0.070,1.012
72,-0.031,0.066,1.004
73,-0.051,0.070,1.012
74,-0.043,0.070,0.996
75,-0.031,0.055,0.996
76,-0.020,0.047,0.988
77,-0.023,0.047,1.008
78,-0.047,0.059,1.031
79,-0.039,0.070,1.012
80,-0.043,0.055,1.043
81,-0.031,0.047,1.000
82,-0.039,0.047,0.992
83,-0.031,0.055,1.008
84,-0.039,0.070,1.000
85,-0.035,0.062,0.996
86,-0.047,0.070,1.012
87,-0.043,0.055,1.004
88,-0.035,0.055,0.977
89,-0.039,0.047,0.980
90,-0.016,0.062,1.012
91,-0.023,0.059,1.012
92,-0.016,0.047,0.996
93,-0.027,0.055,0.996
94,-0.027,0.062,1.012
95,-0.027,0.062,1.008
96,-0.031,0.070,0.988
97,-0.043,0.062,1.004
98,-0.047,0.066,1.012
99,-0.039,0.070,0.996
100,-0.004,0.055,0.902
101,-0.016,0.051,0.980
102,-0.027,0.055,1.000
103,-0.031,0.066,1.012
104,-0.020,0.059,1.004
105,-0.035,0.051,0.992
106,-0.031,0.051,0.992
107,-0.023,0.051,1.023
108,-0.020,0.055,1.000
109,-0.020,0.062,1.008
110,-0.035,0.066,1.012
111,-0.039,0.059,1.004
112,-0.035,0.051,1.012
113,-0.035,0.059,0.988
114,-0.020,0.055,0.988
115,-0.031,0.051,1.000
116,-0.035,0.059,0.988
117,-0.035,0.059,0.988
118,-0.043,0.070,1.023
119,-0.035,0.066,0.996
120,-0.020,0.055,0.996
121,-0.020,0.043,1.020
122,-0.027,0.051,1.027
123,-0.023,0.062,1.008
124,-0.039,0.059,1.000
125,-0.035,0.066,0.992
126,-0.039,0.070,1.004
127,-0.035,0.055,1.000
128,-0.043,0.059,0.977
129,-0.043,0.066,1.000
130,-0.043,0.070,1.008
131,-0.035,0.059,1.000
132,-0.031,0.055,0.996
133,-0.027,0.059,1.004
134,-0.027,0.066,1.004
135,-0.020,0.051,1.004
136,-0.016,0.055,0.996
137,-0.027,0.043,1.000
138,-0.031,0.055,1.008
139,-0.031,0.055,1.004
140,-0.047,0.070,1.004
141,-0.035,0.055,1.020
142,-0.035,0.055,1.000
143,-0.035,0.051,1.004
144,-0.039,0.055,1.000
145,-0.043,0.062,0.984
146,-0.043,0.066,1.008
147,-0.035,0.051,1.000
148,-0.027,0.051,0.992
149,-0.035,0.035,0.992
150,-0.031,0.059,1.016
151,-0.023,0.051,1.004
152,-0.027,0.051,0.996
153,-0.035,0.055,0.992
154,-0.035,0.043,1.004
155,-0.043,0.059,1.008
156,-0.039,0.059,0.992
157,-0.035,0.055,0.992
158,-0.020,0.055,0.988
159,-0.035,0.070,1.008
160,-0.031,0.059,1.047
161,-0.039,0.055,1.000
162,-0.023,0.055,0.992
163,-0.027,0.051,1.004
164,-0.016,0.043,1.012
165,-0.023,0.059,1.000
166,-0.020,0.055,1.004
167,-0.035,0.055,1.008
168,-0.023,0.055,1.004
169,-0.039,0.055,0.992
170,-0.035,0.062,0.984
171,-0.039,0.062,1.012
172,-0.035,0.070,1.008
173,-0.047,0.062,0.996
174,-0.047,0.059,0.996
175,-0.031,0.059,0.996
176,-0.035,0.055,1.008
177,-0.027,0.059,0.992
178,-0.023,0.055,1.020
179,-0.016,0.051,1.000
180,-0.035,0.051,1.047
181,-0.031,0.059,1.027
182,-0.020,0.055,0.996
183,-0.031,0.059,0.984
184,-0.023,0.055,1.000
185,-0.043,0.066,1.012
186,-0.023,0.059,1.004
187,-0.043,0.062,0.980
188,-0.047,0.066,0.992
189,-0.031,0.055,0.996
190,-0.039,0.059,1.008
191,-0.035,0.047,0.996
192,-0.047,0.066,1.008
193,-0.027,0.055,1.016
194,-0.020,0.047,1.000
195,-0.020,0.039,0.980
196,-0.031,0.047,1.000
197,-0.047,0.055,1.016
198,-0.043,0.062,1.004
199,-0.043,0.055,0.984
200,-0.031,0.035,0.895
201,-0.047,0.059,0.996
202,-0.035,0.062,1.004
203,-0.039,0.055,0.988
204,-0.039,0.051,0.977
205,-0.035,0.062,1.016
206,-0.039,0.055,1.004
207,-0.012,0.059,1.004
208,-0.008,0.055,1.000
209,-0.012,0.047,0.988
210,-0.027,0.055,1.008
211,-0.043,0.055,1.004
212,-0.039,0.066,0.992
213,-0.035,0.062,0.996
214,-0.027,0.051,1.000
215,-0.035,0.051,0.992
216,-0.047,0.059,1.000
217,-0.047,0.066,0.988
218,-0.043,0.062,0.996
219,-0.035,0.059,1.008
220,-0.051,0.043,1.109
221,-0.027,0.043,1.008
222,-0.031,0.055,1.016
223,-0.020,0.059,1.012
224,-0.047,0.047,0.984
225,-0.043,0.055,1.008
226,-0.023,0.055,1.012
227,-0.031,0.062,1.004
228,-0.039,0.059,1.000
229,-0.051,0.066,0.996
230,-0.031,0.062,1.000
231,-0.039,0.066,0.992
232,-0.039,0.055,1.000
233,-0.031,0.051,1.000
234,-0.035,0.059,1.020
235,-0.027,0.059,1.008
236,-0.023,0.051,1.016
237,-0.016,0.047,0.992
238,-0.020,0.051,1.016
239,-0.039,0.059,1.000
240,-0.039,0.070,0.969
241,-0.031,0.055,0.988
242,-0.027,0.059,0.996
243,-0.043,0.066,1.000
244,-0.031,0.066,0.992
245,-0.047,0.078,1.000
246,-0.031,0.070,0.984
247,-0.027,0.059,1.008
248,-0.031,0.055,1.000
249,-0.039,0.055,1.008
250,-0.035,0.055,1.012
251,-0.023,0.059,0.992
252,-0.031,0.051,0.996
253,-0.027,0.055,0.996
254,-0.047,0.055,1.004
