Sample,X,Y,Z
0,-0.004,-0.074,0.867
1,-0.023,-0.297,0.895
2,-0.012,-0.309,0.883
3,-0.031,-0.309,0.883
4,-0.012,-0.316,0.875
5,0.000,-0.309,0.875
6,-0.027,-0.297,0.895
7,-0.012,-0.305,0.871
8,-0.035,-0.309,0.887
9,-0.008,-0.293,0.891
10,-0.023,-0.324,0.875
11,-0.008,-0.320,0.883
12,-0.012,-0.301,0.887
13,-0.035,-0.301,0.895
14,-0.008,-0.309,0.887
15,-0.008,-0.309,0.887
16,-0.020,-0.312,0.875
17,-0.012,-0.320,0.879
18,-0.016,-0.305,0.887
19,-0.008,-0.309,0.879
20,-0.023,-0.297,0.891
21,-0.016,-0.301,0.879
22,-0.023,-0.328,0.875
23,-0.016,-0.301,0.883
24,-0.016,-0.305,0.887
25,-0.027,-0.305,0.891
26,-0.004,-0.309,0.883
27,-0.031,-0.312,0.879
28,0.004,-0.309,0.875
29,-0.016,-0.316,0.887
30,-0.020,-0.289,0.898
31,-0.027,-0.305,0.883
32,-0.023,-0.324,0.887
33,0.004,-0.309,0.875
34,-0.035,-0.312,0.887
35,0.000,-0.309,0.879
36,-0.035,-0.309,0.891
37,-0.012,-0.309,0.875
38,-0.012,-0.320,0.875
39,-0.020,-0.336,0.883
40,-0.016,-0.309,0.898
41,-0.016,-0.309,0.895
42,-0.020,-0.312,0.887
43,-0.027,-0.309,0.883
44,-0.020,-0.309,0.879
45,-0.012,-0.324,0.879
46,-0.008,-0.305,0.875
47,-0.023,-0.297,0.887
48,-0.031,-0.316,0.891
49,-0.016,-0.312,0.875
50,-0.012,-0.316,0.871
51,-0.023,-0.316,0.883
52,-0.016,-0.305,0.879
53,-0.023,-0.312,0.891
54,-0.020,-0.309,0.875
55,0.008,-0.320,0.867
56,-0.035,-0.316,0.871
57,-0.035,-0.316,0.871
58,-0.027,-0.309,0.883
59,-0.031,-0.301,0.898
60,-0.004,-0.309,0.883
61,0.012,-0.328,0.891
62,-0.031,-0.316,0.871
63,-0.027,-0.320,0.883
64,-0.012,-0.309,0.891
65,-0.016,-0.301,0.887
66,-0.016,-0.328,0.879
67,-0.012,-0.316,0.871
68,-0.020,-0.309,0.875
69,-0.004,-0.297,0.879
70,-0.039,-0.324,0.887
71,-0.008,-0.324,0.875
72,-0.012,-0.316,0.871
73,-0.012,-0.316,0.887
74,-0.008,-0.305,0.883
75,-0.020,-0.297,0.887
76,-0.023,-0.324,0.883
77,-0.016,-0.336,0.879
78,-0.004,-0.297,0.863
79,-0.023,-0.305,0.898
80,0.023,-0.336,0.906
81,-0.027,-0.320,0.863
82,-0.012,-0.316,0.875
83,-0.016,-0.324,0.883
84,0.004,-0.297,0.871
85,-0.035,-0.305,0.891
86,-0.020,-0.328,0.879
87,-0.012,-0.320,0.867
88,-0.008,-0.297,0.879
89,-0.020,-0.305,0.875
90,-0.008,-0.316,0.883
91,-0.027,-0.320,0.883
92,-0.023,-0.320,0.875
93,-0.004,-0.301,0.875
94,-0.020,-0.297,0.875
95,-0.031,-0.320,0.883
96,-0.012,-0.324,0.871
97,-0.027,-0.320,0.883
98,-0.008,-0.309,0.887
99,-0.012,-0.305,0.875
100,-0.027,-0.316,0.875
101,-0.020,-0.328,0.883
102,-0.020,-0.332,0.879
103,-0.008,-0.312,0.871
104,0.004,-0.309,0.871
105,-0.016,-0.316,0.883
106,-0.020,-0.309,0.883
107,-0.031,-0.320,0.887
108,-0.016,-0.328,0.879
