Sample,X,Y,Z
0,0.043,0.129,0.930
1,0.012,-0.137,1.762
2,-0.020,-0.121,0.961
3,0.043,-0.145,0.906
4,0.094,-0.148,0.883
5,0.082,-0.125,0.895
6,0.020,-0.102,0.934
7,-0.035,-0.105,0.941
8,-0.016,-0.148,0.945
9,0.051,-0.152,0.926
10,0.070,-0.156,0.922
11,0.047,-0.145,0.941
12,0.000,-0.098,0.957
13,-0.023,-0.121,0.949
14,-0.004,-0.125,0.941
15,0.008,-0.129,0.922
16,0.012,-0.133,0.918
17,0.016,-0.141,0.914
18,-0.004,-0.145,0.941
19,0.000,-0.109,0.949
20,0.051,-0.113,0.965
21,0.008,-0.137,0.922
22,0.039,-0.121,0.918
23,0.055,-0.133,0.930
24,0.047,-0.145,0.934
25,0.059,-0.141,0.930
26,0.039,-0.121,0.930
27,0.031,-0.125,0.922
28,0.027,-0.113,0.906
29,0.023,-0.125,0.895
30,0.031,-0.145,0.914
31,0.039,-0.121,0.930
32,0.047,-0.094,0.949
33,0.020,-0.102,0.949
34,0.012,-0.121,0.930
35,0.004,-0.133,0.914
36,-0.004,-0.168,0.895
37,0.008,-0.156,0.910
38,0.027,-0.137,0.918
39,0.012,-0.133,0.938
40,-0.023,-0.129,0.949
41,0.012,-0.109,0.926
42,0.016,-0.125,0.906
43,-0.008,-0.160,0.895
44,0.008,-0.160,0.914
45,0.016,-0.141,0.926
46,0.027,-0.141,0.945
47,0.035,-0.129,0.945
48,0.020,-0.152,0.934
49,0.004,-0.133,0.926
50,0.027,-0.121,0.918
51,0.043,-0.145,0.914
52,0.066,-0.148,0.930
53,0.059,-0.109,0.953
54,0.020,-0.121,0.957
55,0.020,-0.145,0.930
56,0.031,-0.145,0.914
57,0.039,-0.168,0.906
58,0.023,-0.137,0.930
59,0.020,-0.117,0.938
60,0.020,-0.117,0.949
61,0.074,-0.121,0.938
62,0.023,-0.129,0.926
63,0.023,-0.129,0.922
64,0.004,-0.152,0.918
65,0.020,-0.145,0.922
66,0.047,-0.117,0.922
67,0.039,-0.121,0.930
68,0.016,-0.141,0.926
69,0.008,-0.156,0.898
70,0.020,-0.160,0.891
71,0.031,-0.117,0.902
72,0.043,-0.102,0.914
73,0.031,-0.129,0.906
74,0.012,-0.141,0.906
75,0.016,-0.137,0.922
76,0.020,-0.125,0.910
77,0.043,-0.129,0.906
78,0.031,-0.137,0.906
79,0.027,-0.125,0.938
80,0.074,-0.102,0.977
81,0.031,-0.109,0.957
82,0.027,-0.121,0.926
83,0.023,-0.145,0.914
84,0.012,-0.133,0.930
85,0.027,-0.113,0.938
86,0.020,-0.129,0.941
87,0.020,-0.152,0.934
88,0.031,-0.148,0.934
89,0.020,-0.117,0.953
90,0.020,-0.121,0.941
91,0.020,-0.137,0.938
92,0.047,-0.141,0.938
93,0.047,-0.121,0.934
94,0.043,-0.109,0.945
95,0.043,-0.109,0.934
96,0.039,-0.176,0.922
97,0.043,-0.160,0.914
98,0.043,-0.113,0.934
99,0.027,-0.113,0.941
100,0.020,-0.129,0.910
101,-0.004,-0.156,0.902
102,-0.020,-0.156,0.910
103,-0.020,-0.145,0.918
104,-0.008,-0.137,0.914
105,0.000,-0.148,0.914
106,0.016,-0.133,0.906
107,0.004,-0.137,0.930
108,0.008,-0.117,0.941
109,0.027,-0.117,0.910
110,0.016,-0.148,0.910
111,0.027,-0.160,0.910
112,0.016,-0.113,0.930
113,0.020,-0.113,0.934
114,0.000,-0.141,0.922
115,0.031,-0.141,0.906
116,0.027,-0.133,0.910
117,0.027,-0.133,0.910
118,0.023,-0.145,0.930
119,0.027,-0.117,0.918
120,0.020,-0.137,0.934
121,-0.070,-0.141,0.941
122,0.047,-0.102,0.945
123,0.043,-0.125,0.941
124,0.031,-0.129,0.953
125,0.031,-0.109,0.945
126,0.047,-0.133,0.941
127,0.035,-0.125,0.945
128,0.043,-0.125,0.938
129,0.031,-0.117,0.934
130,0.020,-0.141,0.914
131,0.031,-0.129,0.910
132,0.031,-0.129,0.922
133,0.016,-0.137,0.918
134,0.023,-0.145,0.918
135,0.027,-0.121,0.930
136,0.023,-0.125,0.918
137,0.039,-0.121,0.922
138,0.023,-0.125,0.918
139,0.016,-0.137,0.926
140,0.074,-0.086,0.910
141,0.012,-0.121,0.922
142,0.047,-0.133,0.902
143,0.027,-0.133,0.910
144,0.012,-0.141,0.918
145,0.023,-0.125,0.922
146,0.043,-0.129,0.910
147,0.023,-0.141,0.922
148,0.027,-0.141,0.918
149,0.016,-0.137,0.914
150,0.008,-0.148,0.918
151,0.023,-0.141,0.914
152,0.027,-0.129,0.922
153,0.012,-0.133,0.926
154,0.012,-0.133,0.934
155,0.020,-0.148,0.926
156,0.008,-0.141,0.941
157,0.023,-0.137,0.945
158,0.035,-0.109,0.945
159,0.012,-0.117,0.953
160,-0.016,-0.152,0.977
161,0.055,-0.141,0.934
162,0.023,-0.125,0.934
163,0.023,-0.141,0.934
164,0.023,-0.141,0.922
165,0.031,-0.148,0.926
166,0.020,-0.121,0.930
167,0.020,-0.125,0.926
168,0.027,-0.137,0.918
169,0.023,-0.125,0.910
170,0.020,-0.141,0.918
171,0.020,-0.133,0.922
172,0.016,-0.129,0.922
173,0.027,-0.145,0.926
174,0.016,-0.133,0.926
175,0.016,-0.129,0.934
176,0.031,-0.117,0.918
177,0.016,-0.141,0.922
178,0.016,-0.148,0.914
179,0.020,-0.133,0.918
180,0.086,-0.125,0.914
181,0.020,-0.125,0.918
182,0.020,-0.121,0.922
183,0.023,-0.152,0.914
184,0.016,-0.133,0.926
185,0.039,-0.125,0.922
186,0.012,-0.129,0.930
187,0.031,-0.141,0.918
188,0.023,-0.125,0.930
189,0.031,-0.117,0.934
190,0.020,-0.121,0.938
191,0.031,-0.125,0.922
192,0.027,-0.129,0.922
193,0.016,-0.129,0.922
194,0.012,-0.117,0.934
195,0.031,-0.133,0.930
196,0.008,-0.145,0.922
197,0.023,-0.141,0.922
198,0.016,-0.129,0.941
199,0.012,-0.141,0.938
200,0.004,-0.137,0.914
201,0.031,-0.141,0.918
202,0.027,-0.117,0.934
203,0.020,-0.129,0.934
204,0.023,-0.121,0.934
205,0.012,-0.141,0.922
206,0.020,-0.148,0.930
207,0.035,-0.129,0.934
208,0.023,-0.125,0.922
209,0.027,-0.145,0.922
210,0.016,-0.145,0.926
211,0.031,-0.129,0.922
212,0.023,-0.133,0.922
213,0.023,-0.152,0.918
214,0.027,-0.148,0.906
215,0.023,-0.141,0.922
216,0.020,-0.117,0.926
217,0.027,-0.129,0.918
218,0.020,-0.148,0.910
219,0.023,-0.148,0.918
220,0.074,-0.121,0.895
221,0.043,-0.117,0.918
222,0.016,-0.145,0.922
223,0.020,-0.152,0.914
224,0.020,-0.141,0.918
225,0.016,-0.125,0.930
226,0.023,-0.117,0.922
227,0.031,-0.156,0.914
228,0.027,-0.152,0.930
229,0.020,-0.117,0.934
230,0.020,-0.117,0.945
231,0.031,-0.137,0.926
232,0.031,-0.137,0.922
233,0.039,-0.137,0.941
234,0.016,-0.117,0.941
235,0.023,-0.125,0.934
236,0.023,-0.141,0.934
237,0.035,-0.137,0.926
238,0.031,-0.121,0.926
239,0.023,-0.129,0.930
240,0.066,-0.117,0.945
241,0.039,-0.129,0.918
242,0.023,-0.121,0.930
243,0.027,-0.129,0.934
244,0.023,-0.121,0.918
245,0.023,-0.141,0.914
246,0.004,-0.145,0.918
247,0.031,-0.109,0.922
248,0.008,-0.125,0.930
249,0.016,-0.156,0.914
250,0.031,-0.141,0.914
251,0.016,-0.129,0.922
252,0.027,-0.129,0.926
253,0.016,-0.129,0.910
254,0.012,-0.152,0.914
255,0.023,-0.137,0.934
256,0.027,-0.109,0.926
257,0.027,-0.137,0.926
258,0.004,-0.145,0.922
259,0.020,-0.156,0.922
260,0.000,-0.129,0.938
261,0.027,-0.109,0.938
262,0.027,-0.129,0.934
263,0.020,-0.156,0.926
264,0.020,-0.141,0.934
265,0.020,-0.117,0.941
266,0.027,-0.121,0.930
267,0.035,-0.145,0.930
268,0.020,-0.145,0.914
269,0.020,-0.137,0.934
270,0.023,-0.121,0.941
271,0.031,-0.137,0.930
272,0.023,-0.148,0.918
273,0.027,-0.148,0.914
274,0.020,-0.125,0.926
275,0.016,-0.113,0.938
276,0.023,-0.133,0.930
277,0.031,-0.145,0.914
278,0.023,-0.129,0.930
279,0.027,-0.129,0.918
280,0.035,-0.133,0.938
281,0.031,-0.145,0.910
282,0.027,-0.129,0.918
283,0.035,-0.141,0.914
284,0.027,-0.117,0.926
285,0.031,-0.129,0.914
286,0.031,-0.141,0.914
287,0.031,-0.137,0.910
288,0.027,-0.129,0.926
289,0.023,-0.117,0.930
290,0.023,-0.129,0.922
291,0.023,-0.141,0.918
292,0.035,-0.121,0.926
293,0.031,-0.125,0.930
294,0.031,-0.117,0.930
295,0.027,-0.133,0.918
296,0.020,-0.141,0.922
297,0.035,-0.121,0.918
298,0.035,-0.129,0.926
299,0.020,-0.133,0.922
300,-0.039,-0.152,0.914
301,0.020,-0.145,0.910
302,0.039,-0.117,0.938
303,0.027,-0.133,0.922
304,0.020,-0.148,0.922
305,0.027,-0.133,0.918
306,0.020,-0.133,0.941
307,0.031,-0.117,0.930
308,0.020,-0.137,0.930
309,0.016,-0.145,0.922
310,0.027,-0.133,0.926
311,0.031,-0.125,0.930
312,0.023,-0.141,0.930
313,0.023,-0.141,0.918
314,0.031,-0.141,0.918
315,0.027,-0.121,0.945
316,0.035,-0.125,0.918
317,0.035,-0.125,0.918
318,0.020,-0.156,0.930
319,0.020,-0.152,0.910
320,0.027,-0.125,0.938
321,0.000,-0.109,0.910
322,0.008,-0.137,0.926
323,0.020,-0.156,0.918
324,0.016,-0.148,0.934
325,0.027,-0.129,0.922
326,0.023,-0.125,0.930
327,0.027,-0.125,0.910
328,0.020,-0.148,0.922
329,0.020,-0.137,0.914
330,0.016,-0.125,0.926
331,0.027,-0.125,0.918
332,0.027,-0.133,0.922
333,0.035,-0.145,0.910
334,0.020,-0.141,0.922
335,0.008,-0.129,0.934
336,0.027,-0.113,0.926
337,0.020,-0.145,0.926
338,0.027,-0.137,0.914
339,0.023,-0.133,0.934
340,0.047,-0.121,0.938
341,0.027,-0.113,0.938
342,0.020,-0.121,0.926
343,0.023,-0.156,0.918
344,0.027,-0.125,0.918
345,0.020,-0.121,0.934
346,0.020,-0.133,0.934
347,0.043,-0.113,0.930
348,0.027,-0.141,0.930
349,0.023,-0.133,0.930
350,0.023,-0.121,0.934
351,0.027,-0.117,0.926
352,0.031,-0.141,0.926
353,0.027,-0.129,0.934
