Sample,X,Y,Z
0,0.051,0.000,0.891
1,-0.027,-0.285,0.883
2,-0.008,-0.281,0.891
3,-0.008,-0.277,0.906
4,-0.012,-0.289,0.902
5,-0.012,-0.277,0.898
6,-0.016,-0.297,0.902
7,-0.004,-0.277,0.895
8,-0.031,-0.277,0.902
9,-0.004,-0.289,0.898
10,-0.016,-0.281,0.887
11,-0.020,-0.293,0.902
12,0.012,-0.293,0.883
13,-0.027,-0.281,0.906
14,-0.008,-0.277,0.895
15,-0.016,-0.289,0.898
16,-0.031,-0.293,0.898
17,0.008,-0.281,0.891
18,-0.027,-0.289,0.902
19,-0.008,-0.273,0.902
20,-0.020,-0.289,0.891
21,-0.012,-0.293,0.891
22,0.000,-0.270,0.895
23,-0.027,-0.281,0.906
24,0.008,-0.277,0.898
25,-0.027,-0.281,0.906
26,-0.012,-0.293,0.898
27,-0.012,-0.285,0.898
28,-0.031,-0.293,0.902
29,-0.004,-0.281,0.891
30,-0.020,-0.285,0.906
31,-0.020,-0.293,0.898
32,-0.012,-0.277,0.898
33,-0.008,-0.277,0.910
34,-0.016,-0.277,0.898
35,0.000,-0.273,0.898
36,-0.031,-0.293,0.895
37,-0.016,-0.293,0.902
38,-0.008,-0.266,0.895
39,-0.023,-0.285,0.898
40,0.000,-0.289,0.879
41,-0.004,-0.277,0.891
42,-0.012,-0.285,0.898
43,-0.004,-0.285,0.891
44,-0.031,-0.281,0.902
45,-0.016,-0.273,0.906
46,-0.027,-0.293,0.902
47,-0.008,-0.281,0.895
48,-0.008,-0.281,0.891
49,-0.016,-0.297,0.898
50,-0.016,-0.273,0.898
51,-0.031,-0.281,0.910
52,-0.004,-0.289,0.887
53,-0.020,-0.281,0.898
54,-0.016,-0.281,0.910
55,-0.004,-0.277,0.906
56,-0.020,-0.285,0.906
57,-0.020,-0.285,0.906
58,-0.008,-0.277,0.891
59,-0.020,-0.301,0.898
60,-0.008,-0.281,0.891
61,-0.051,-0.266,0.898
62,0.012,-0.285,0.887
63,-0.012,-0.281,0.895
64,-0.031,-0.293,0.898
65,0.004,-0.289,0.891
66,-0.031,-0.273,0.906
67,0.000,-0.277,0.898
68,-0.023,-0.293,0.898
69,-0.023,-0.277,0.902
70,-0.008,-0.273,0.906
71,-0.020,-0.289,0.902
72,-0.008,-0.285,0.891
73,-0.035,-0.293,0.898
74,0.004,-0.289,0.879
75,-0.043,-0.277,0.906
76,0.016,-0.277,0.891
77,-0.035,-0.297,0.891
78,-0.023,-0.277,0.902
79,-0.004,-0.281,0.895
80,-0.039,-0.270,0.887
81,-0.039,-0.281,0.906
82,-0.012,-0.293,0.891
83,-0.027,-0.285,0.902
84,-0.004,-0.273,0.906
85,-0.023,-0.277,0.895
86,-0.016,-0.293,0.887
87,-0.035,-0.289,0.898
88,0.008,-0.277,0.891
89,-0.020,-0.277,0.914
90,-0.012,-0.277,0.906
91,-0.023,-0.301,0.891
92,-0.027,-0.289,0.891
93,0.000,-0.285,0.898
94,-0.008,-0.258,0.914
