Sample,X,Y,Z
0,0.027,-0.039,0.941
1,0.059,-0.055,0.957
2,0.062,-0.070,0.945
3,0.035,-0.074,0.941
4,-0.004,-0.086,0.949
5,0.012,-0.074,0.930
6,0.035,-0.078,0.926
7,0.035,-0.082,0.926
8,0.039,-0.051,0.930
9,0.020,-0.074,0.941
10,0.023,-0.070,0.934
11,0.039,-0.082,0.930
12,0.027,-0.109,0.941
13,0.035,-0.066,0.934
14,0.008,-0.055,0.941
15,0.004,-0.074,0.934
16,0.016,-0.074,0.918
17,0.016,-0.086,0.918
18,-0.012,-0.070,0.926
19,-0.031,-0.070,0.930
20,0.004,-0.074,0.934
21,0.023,-0.070,0.938
22,0.035,-0.070,0.934
23,0.039,-0.082,0.914
24,0.020,-0.090,0.910
25,0.000,-0.125,0.902
26,0.023,-0.105,0.906
27,0.039,-0.094,0.918
28,0.059,-0.082,0.930
29,0.047,-0.051,0.934
30,0.016,-0.062,0.949
31,0.000,-0.066,0.945
32,0.016,-0.078,0.949
33,0.027,-0.082,0.953
34,0.027,-0.070,0.953
35,0.023,-0.066,0.949
36,0.023,-0.066,0.941
37,0.023,-0.082,0.926
38,0.031,-0.102,0.922
39,0.023,-0.086,0.926
40,0.125,-0.055,0.945
41,0.035,-0.047,0.949
42,0.047,-0.051,0.953
43,0.035,-0.066,0.941
44,0.016,-0.066,0.938
45,0.008,-0.047,0.938
46,0.012,-0.059,0.934
47,0.043,-0.070,0.930
48,0.039,-0.062,0.938
49,0.035,-0.082,0.934
50,0.035,-0.066,0.918
51,0.031,-0.086,0.922
52,0.031,-0.078,0.918
53,0.031,-0.074,0.906
54,0.031,-0.086,0.906
55,0.027,-0.086,0.914
56,0.020,-0.066,0.918
57,0.016,-0.074,0.938
58,0.020,-0.066,0.934
59,0.004,-0.082,0.930
60,0.004,-0.098,0.938
61,0.020,-0.070,0.953
62,0.031,-0.062,0.949
63,0.031,-0.066,0.941
64,0.023,-0.078,0.934
65,0.027,-0.090,0.922
66,0.000,-0.074,0.926
67,0.016,-0.090,0.934
68,0.027,-0.082,0.941
69,0.043,-0.090,0.945
70,0.047,-0.078,0.938
71,0.031,-0.074,0.949
72,0.031,-0.078,0.949
73,0.035,-0.070,0.945
74,0.035,-0.062,0.945
75,0.035,-0.090,0.941
76,0.039,-0.074,0.941
77,0.027,-0.086,0.934
78,0.023,-0.094,0.934
79,0.020,-0.070,0.926
80,0.035,-0.078,0.902
81,0.016,-0.070,0.934
82,0.012,-0.082,0.934
83,0.020,-0.094,0.926
84,0.027,-0.074,0.926
85,0.008,-0.074,0.926
86,0.020,-0.078,0.914
87,0.020,-0.082,0.926
88,0.020,-0.094,0.922
89,0.035,-0.070,0.930
